"SECONDS";"PID";"VALUE";"UNITS";
"35695.913377";"Distance travelled (total)";"65.957169";"km";
"35695.913377";"Distance travelled (Week)";"65.957169";"km";
"35695.913377";"Vehicle acceleration";"0";"g";
"35695.913377";"Vehicle speed";"0";"km/h";
"35696.3448117";"Engine RPM";"1192";"rpm";
"35696.3448117";"Engine RPM x1000";"1.2";"rpm";
"35696.5738193";"Average speed";"0";"km/h";
"35696.5738193";"Distance travelled";"0";"km";
"35696.5738193";"Distance travelled (Today)";"0";"km";
"35696.5738193";"Distance travelled (total)";"65.957169";"km";
"35696.5738193";"Distance travelled (Week)";"65.957169";"km";
"35696.5738193";"Vehicle acceleration";"0";"g";
"35696.5738193";"Vehicle speed";"0";"km/h";
"35696.9930544";"Engine RPM";"1268";"rpm";
"35696.9930544";"Engine RPM x1000";"1.3";"rpm";
"35697.3100352";"Engine coolant temperature";"39";"℃";
"35697.5763183";"Average speed";"0";"km/h";
"35697.5763183";"Distance travelled";"0";"km";
"35697.5763183";"Distance travelled (Today)";"0";"km";
"35697.5763183";"Distance travelled (total)";"65.957169";"km";
"35697.5763183";"Distance travelled (Week)";"65.957169";"km";
"35697.5763183";"Vehicle acceleration";"0";"g";
"35697.5763183";"Vehicle speed";"0";"km/h";
"35697.9123173";"Engine RPM";"1158";"rpm";
"35697.9123173";"Engine RPM x1000";"1.2";"rpm";
"35698.2601865";"Average speed";"0";"km/h";
"35698.2601865";"Distance travelled";"0";"km";
"35698.2601865";"Distance travelled (Today)";"0";"km";
"35698.2601865";"Distance travelled (total)";"65.957169";"km";
"35698.2601865";"Distance travelled (Week)";"65.957169";"km";
"35698.2601865";"Vehicle acceleration";"0";"g";
"35698.2601865";"Vehicle speed";"0";"km/h";
"35698.5934379";"Engine RPM";"1245";"rpm";
"35698.5934379";"Engine RPM x1000";"1.2";"rpm";
"35698.8766301";"Engine coolant temperature";"39";"℃";
"35699.1123597";"Average speed";"0";"km/h";
"35699.1123597";"Distance travelled";"0";"km";
"35699.1123597";"Distance travelled (Today)";"0";"km";
"35699.1123597";"Distance travelled (total)";"65.957169";"km";
"35699.1123597";"Distance travelled (Week)";"65.957169";"km";
"35699.1123597";"Vehicle acceleration";"0";"g";
"35699.1123597";"Vehicle speed";"0";"km/h";
"35699.4789874";"Engine RPM";"1169";"rpm";
"35699.4789874";"Engine RPM x1000";"1.2";"rpm";
"35699.7130071";"Average speed";"0";"km/h";
"35699.7130071";"Distance travelled";"0";"km";
"35699.7130071";"Distance travelled (Today)";"0";"km";
"35699.7130071";"Distance travelled (total)";"65.957169";"km";
"35699.7130071";"Distance travelled (Week)";"65.957169";"km";
"35699.7130071";"Vehicle acceleration";"0";"g";
"35699.7130071";"Vehicle speed";"0";"km/h";
"35700.1487112";"Engine RPM";"1237";"rpm";
"35700.1487112";"Engine RPM x1000";"1.2";"rpm";
"35700.4111613";"Engine coolant temperature";"39";"℃";
"35700.7475705";"Average speed";"0";"km/h";
"35700.7475705";"Distance travelled";"0";"km";
"35700.7475705";"Distance travelled (Today)";"0";"km";
"35700.7475705";"Distance travelled (total)";"65.957169";"km";
"35700.7475705";"Distance travelled (Week)";"65.957169";"km";
"35700.7475705";"Vehicle acceleration";"0";"g";
"35700.7475705";"Vehicle speed";"0";"km/h";
"35701.0794342";"Engine RPM";"1232";"rpm";
"35701.0794342";"Engine RPM x1000";"1.2";"rpm";
"35701.3601151";"Average speed";"0";"km/h";
"35701.3601151";"Distance travelled";"0";"km";
"35701.3601151";"Distance travelled (Today)";"0";"km";
"35701.3601151";"Distance travelled (total)";"65.957169";"km";
"35701.3601151";"Distance travelled (Week)";"65.957169";"km";
"35701.3601151";"Vehicle acceleration";"0";"g";
"35701.3601151";"Vehicle speed";"0";"km/h";
"35701.7750551";"Engine RPM";"1229";"rpm";
"35701.7750551";"Engine RPM x1000";"1.2";"rpm";
"35702.0249252";"Engine coolant temperature";"40";"℃";
"35702.3629848";"Average speed";"0";"km/h";
"35702.3629848";"Distance travelled";"0";"km";
"35702.3629848";"Distance travelled (Today)";"0";"km";
"35702.3629848";"Distance travelled (total)";"65.957169";"km";
"35702.3629848";"Distance travelled (Week)";"65.957169";"km";
"35702.3629848";"Vehicle acceleration";"0";"g";
"35702.3629848";"Vehicle speed";"0";"km/h";
"35702.8138717";"Engine RPM";"1101";"rpm";
"35702.8138717";"Engine RPM x1000";"1.1";"rpm";
"35703.1142664";"Average speed";"0";"km/h";
"35703.1142664";"Distance travelled";"0";"km";
"35703.1142664";"Distance travelled (Today)";"0";"km";
"35703.1142664";"Distance travelled (total)";"65.957169";"km";
"35703.1142664";"Distance travelled (Week)";"65.957169";"km";
"35703.1142664";"Vehicle acceleration";"0";"g";
"35703.1142664";"Vehicle speed";"0";"km/h";
"35703.4810611";"Engine RPM";"1134";"rpm";
"35703.4810611";"Engine RPM x1000";"1.1";"rpm";
"35703.7294243";"Engine coolant temperature";"40";"℃";
"35703.9645969";"Average speed";"0";"km/h";
"35703.9645969";"Distance travelled";"0";"km";
"35703.9645969";"Distance travelled (Today)";"0";"km";
"35703.9645969";"Distance travelled (total)";"65.957169";"km";
"35703.9645969";"Distance travelled (Week)";"65.957169";"km";
"35703.9645969";"Vehicle acceleration";"0";"g";
"35703.9645969";"Vehicle speed";"0";"km/h";
"35704.2782932";"Engine RPM";"1250";"rpm";
"35704.2782932";"Engine RPM x1000";"1.2";"rpm";
"35704.6177516";"Average speed";"0";"km/h";
"35704.6177516";"Distance travelled";"0";"km";
"35704.6177516";"Distance travelled (Today)";"0";"km";
"35704.6177516";"Distance travelled (total)";"65.957169";"km";
"35704.6177516";"Distance travelled (Week)";"65.957169";"km";
"35704.6177516";"Vehicle acceleration";"0";"g";
"35704.6177516";"Vehicle speed";"0";"km/h";
"35704.9769248";"Engine RPM";"1245";"rpm";
"35704.9769248";"Engine RPM x1000";"1.2";"rpm";
"35705.2305746";"Engine coolant temperature";"41";"℃";
"35705.5619743";"Average speed";"0";"km/h";
"35705.5619743";"Distance travelled";"0";"km";
"35705.5619743";"Distance travelled (Today)";"0";"km";
"35705.5619743";"Distance travelled (total)";"65.957169";"km";
"35705.5619743";"Distance travelled (Week)";"65.957169";"km";
"35705.5619743";"Vehicle acceleration";"0";"g";
"35705.5619743";"Vehicle speed";"0";"km/h";
"35705.896522";"Engine RPM";"1222";"rpm";
"35705.896522";"Engine RPM x1000";"1.2";"rpm";
"35706.2572485";"Average speed";"0";"km/h";
"35706.2572485";"Distance travelled";"0";"km";
"35706.2572485";"Distance travelled (Today)";"0";"km";
"35706.2572485";"Distance travelled (total)";"65.957169";"km";
"35706.2572485";"Distance travelled (Week)";"65.957169";"km";
"35706.2572485";"Vehicle acceleration";"0";"g";
"35706.2572485";"Vehicle speed";"0";"km/h";
"35706.6746656";"Engine RPM";"1208";"rpm";
"35706.6746656";"Engine RPM x1000";"1.2";"rpm";
"35707.0270032";"Engine coolant temperature";"41";"℃";
"35707.3767087";"Average speed";"0";"km/h";
"35707.3767087";"Distance travelled";"0";"km";
"35707.3767087";"Distance travelled (Today)";"0";"km";
"35707.3767087";"Distance travelled (total)";"65.957169";"km";
"35707.3767087";"Distance travelled (Week)";"65.957169";"km";
"35707.3767087";"Vehicle acceleration";"0";"g";
"35707.3767087";"Vehicle speed";"0";"km/h";
"35707.6897328";"Engine RPM";"1204";"rpm";
"35707.6897328";"Engine RPM x1000";"1.2";"rpm";
"35708.059066";"Average speed";"0";"km/h";
"35708.059066";"Distance travelled";"0";"km";
"35708.059066";"Distance travelled (Today)";"0";"km";
"35708.059066";"Distance travelled (total)";"65.957169";"km";
"35708.059066";"Distance travelled (Week)";"65.957169";"km";
"35708.059066";"Vehicle acceleration";"0";"g";
"35708.059066";"Vehicle speed";"0";"km/h";
"35708.3761154";"Engine RPM";"1203";"rpm";
"35708.3761154";"Engine RPM x1000";"1.2";"rpm";
"35708.7405586";"Engine coolant temperature";"42";"℃";
"35709.0171651";"Average speed";"0";"km/h";
"35709.0171651";"Distance travelled";"0";"km";
"35709.0171651";"Distance travelled (Today)";"0";"km";
"35709.0171651";"Distance travelled (total)";"65.957169";"km";
"35709.0171651";"Distance travelled (Week)";"65.957169";"km";
"35709.0171651";"Vehicle acceleration";"0";"g";
"35709.0171651";"Vehicle speed";"0";"km/h";
"35709.4092398";"Engine RPM";"1171";"rpm";
"35709.4092398";"Engine RPM x1000";"1.2";"rpm";
"35709.7142586";"Average speed";"0";"km/h";
"35709.7142586";"Distance travelled";"0";"km";
"35709.7142586";"Distance travelled (Today)";"0";"km";
"35709.7142586";"Distance travelled (total)";"65.957169";"km";
"35709.7142586";"Distance travelled (Week)";"65.957169";"km";
"35709.7142586";"Vehicle acceleration";"0";"g";
"35709.7142586";"Vehicle speed";"0";"km/h";
"35710.0119744";"Engine RPM";"1160";"rpm";
"35710.0119744";"Engine RPM x1000";"1.2";"rpm";
"35710.2480635";"Engine coolant temperature";"42";"℃";
"35710.5103505";"Average speed";"0";"km/h";
"35710.5103505";"Distance travelled";"0";"km";
"35710.5103505";"Distance travelled (Today)";"0";"km";
"35710.5103505";"Distance travelled (total)";"65.957169";"km";
"35710.5103505";"Distance travelled (Week)";"65.957169";"km";
"35710.5103505";"Vehicle acceleration";"0";"g";
"35710.5103505";"Vehicle speed";"0";"km/h";
"35710.8762713";"Engine RPM";"1195";"rpm";
"35710.8762713";"Engine RPM x1000";"1.2";"rpm";
"35711.2107991";"Average speed";"0";"km/h";
"35711.2107991";"Distance travelled";"0";"km";
"35711.2107991";"Distance travelled (Today)";"0";"km";
"35711.2107991";"Distance travelled (total)";"65.957169";"km";
"35711.2107991";"Distance travelled (Week)";"65.957169";"km";
"35711.2107991";"Vehicle acceleration";"0";"g";
"35711.2107991";"Vehicle speed";"0";"km/h";
"35711.5447407";"Engine RPM";"1174";"rpm";
"35711.5447407";"Engine RPM x1000";"1.2";"rpm";
"35711.8927915";"Engine coolant temperature";"42";"℃";
"35712.1607981";"Average speed";"0";"km/h";
"35712.1607981";"Distance travelled";"0";"km";
"35712.1607981";"Distance travelled (Today)";"0";"km";
"35712.1607981";"Distance travelled (total)";"65.957169";"km";
"35712.1607981";"Distance travelled (Week)";"65.957169";"km";
"35712.1607981";"Vehicle acceleration";"0";"g";
"35712.1607981";"Vehicle speed";"0";"km/h";
"35712.5780511";"Engine RPM";"1149";"rpm";
"35712.5780511";"Engine RPM x1000";"1.1";"rpm";
"35712.8247301";"Average speed";"0";"km/h";
"35712.8247301";"Distance travelled";"0";"km";
"35712.8247301";"Distance travelled (Today)";"0";"km";
"35712.8247301";"Distance travelled (total)";"65.957169";"km";
"35712.8247301";"Distance travelled (Week)";"65.957169";"km";
"35712.8247301";"Vehicle acceleration";"0";"g";
"35712.8247301";"Vehicle speed";"0";"km/h";
"35713.2635309";"Engine RPM";"1164";"rpm";
"35713.2635309";"Engine RPM x1000";"1.2";"rpm";
"35713.5301642";"Engine coolant temperature";"42";"℃";
"35713.8494695";"Average speed";"0";"km/h";
"35713.8494695";"Distance travelled";"0";"km";
"35713.8494695";"Distance travelled (Today)";"0";"km";
"35713.8494695";"Distance travelled (total)";"65.957169";"km";
"35713.8494695";"Distance travelled (Week)";"65.957169";"km";
"35713.8494695";"Vehicle acceleration";"0";"g";
"35713.8494695";"Vehicle speed";"0";"km/h";
"35714.1464508";"Engine RPM";"1195";"rpm";
"35714.1464508";"Engine RPM x1000";"1.2";"rpm";
"35714.4651409";"Average speed";"0";"km/h";
"35714.4651409";"Distance travelled";"0";"km";
"35714.4651409";"Distance travelled (Today)";"0";"km";
"35714.4651409";"Distance travelled (total)";"65.957169";"km";
"35714.4651409";"Distance travelled (Week)";"65.957169";"km";
"35714.4651409";"Vehicle acceleration";"0";"g";
"35714.4651409";"Vehicle speed";"0";"km/h";
"35714.8288859";"Engine RPM";"1180";"rpm";
"35714.8288859";"Engine RPM x1000";"1.2";"rpm";
"35715.0824679";"Engine coolant temperature";"43";"℃";
"35715.4153218";"Average speed";"0";"km/h";
"35715.4153218";"Distance travelled";"0";"km";
"35715.4153218";"Distance travelled (Today)";"0";"km";
"35715.4153218";"Distance travelled (total)";"65.957169";"km";
"35715.4153218";"Distance travelled (Week)";"65.957169";"km";
"35715.4153218";"Vehicle acceleration";"0";"g";
"35715.4153218";"Vehicle speed";"0";"km/h";
"35715.7510935";"Engine RPM";"1160";"rpm";
"35715.7510935";"Engine RPM x1000";"1.2";"rpm";
"35716.0944886";"Average speed";"0";"km/h";
"35716.0944886";"Distance travelled";"0";"km";
"35716.0944886";"Distance travelled (Today)";"0";"km";
"35716.0944886";"Distance travelled (total)";"65.957169";"km";
"35716.0944886";"Distance travelled (Week)";"65.957169";"km";
"35716.0944886";"Vehicle acceleration";"0";"g";
"35716.0944886";"Vehicle speed";"0";"km/h";
"35716.4304758";"Engine RPM";"1152";"rpm";
"35716.4304758";"Engine RPM x1000";"1.2";"rpm";
"35716.7815162";"Engine coolant temperature";"43";"℃";
"35717.1299878";"Average speed";"0";"km/h";
"35717.1299878";"Distance travelled";"0";"km";
"35717.1299878";"Distance travelled (Today)";"0";"km";
"35717.1299878";"Distance travelled (total)";"65.957169";"km";
"35717.1299878";"Distance travelled (Week)";"65.957169";"km";
"35717.1299878";"Vehicle acceleration";"0";"g";
"35717.1299878";"Vehicle speed";"0";"km/h";
"35717.449646";"Engine RPM";"1174";"rpm";
"35717.449646";"Engine RPM x1000";"1.2";"rpm";
"35717.8132308";"Average speed";"0";"km/h";
"35717.8132308";"Distance travelled";"0";"km";
"35717.8132308";"Distance travelled (Today)";"0";"km";
"35717.8132308";"Distance travelled (total)";"65.957169";"km";
"35717.8132308";"Distance travelled (Week)";"65.957169";"km";
"35717.8132308";"Vehicle acceleration";"0";"g";
"35717.8132308";"Vehicle speed";"0";"km/h";
"35718.1485301";"Engine RPM";"1159";"rpm";
"35718.1485301";"Engine RPM x1000";"1.2";"rpm";
"35718.4967597";"Engine coolant temperature";"43";"℃";
"35718.7437534";"Average speed";"0";"km/h";
"35718.7437534";"Distance travelled";"0";"km";
"35718.7437534";"Distance travelled (Today)";"0";"km";
"35718.7437534";"Distance travelled (total)";"65.957169";"km";
"35718.7437534";"Distance travelled (Week)";"65.957169";"km";
"35718.7437534";"Vehicle acceleration";"0";"g";
"35718.7437534";"Vehicle speed";"0";"km/h";
"35719.1758";"Engine RPM";"1177";"rpm";
"35719.1758";"Engine RPM x1000";"1.2";"rpm";
"35719.5599888";"Average speed";"0";"km/h";
"35719.5599888";"Distance travelled";"0";"km";
"35719.5599888";"Distance travelled (Today)";"0";"km";
"35719.5599888";"Distance travelled (total)";"65.957169";"km";
"35719.5599888";"Distance travelled (Week)";"65.957169";"km";
"35719.5599888";"Vehicle acceleration";"0";"g";
"35719.5599888";"Vehicle speed";"0";"km/h";
"35719.9597567";"Engine RPM";"1156";"rpm";
"35719.9597567";"Engine RPM x1000";"1.2";"rpm";
"35720.2277045";"Engine coolant temperature";"44";"℃";
"35720.4623463";"Average speed";"0";"km/h";
"35720.4623463";"Distance travelled";"0";"km";
"35720.4623463";"Distance travelled (Today)";"0";"km";
"35720.4623463";"Distance travelled (total)";"65.957169";"km";
"35720.4623463";"Distance travelled (Week)";"65.957169";"km";
"35720.4623463";"Vehicle acceleration";"0";"g";
"35720.4623463";"Vehicle speed";"0";"km/h";
"35720.8946684";"Engine RPM";"1181";"rpm";
