time,"Average fuel consumption (km/L)","Average fuel consumption (Today) (km/L)","Average fuel consumption (total) (km/L)","Average fuel consumption (Week) (km/L)","Average fuel consumption 10 sec (km/L)","Average speed (km/h)","Calculated boost (bar)","Calculated engine load value (%)","Calculated instant fuel consumption (km/L)","Calculated instant fuel rate (L/h)","Distance travelled (km)","Distance travelled (Today) (km)","Distance travelled (total) (km)","Distance travelled (Week) (km)","Engine coolant temperature (℃)","Engine RPM (rpm)","Engine RPM x1000 (rpm)","Fuel economizer (based on fuel system status and throttle position) ()","Fuel used (L)","Fuel used (Today) (L)","Fuel used (total) (L)","Fuel used (Week) (L)","Fuel used price (₹$)","Fuel used price (Today) (₹$)","Fuel used price (total) (₹$)","Fuel used price (Week) (₹$)","Instant engine power (based on fuel consumption) (hp)","Intake air temperature (℃)","Intake manifold absolute pressure (kPa)","Throttle position (%)","Vehicle acceleration (g)","Vehicle speed (km/h)",
09:49:04.583,12.835307202031016,11.877772393617978,16.606012610541484,11.877772393617978,12.837373304073523,23.566183864359157,-0.16325000000000003,4.705882352941177,14.890933936111994,4.696163500135146,21.60533247147222,3.309088,364.213082,3.309088,81,1510,1.5,1,1.683273499527418,0.278595,21.932603,0.278595,193.57645244565305,32.038425,2287.6371788200004,32.038425,18.37232099263328,38,85,12.549019607843137,0.040782425260847785,45,
09:49:04.892,12.835307202031016,11.877772393617978,16.606012610541484,11.877772393617978,12.837373304073523,23.57458109470134,-0.16325000000000003,4.705882352941177,9.582289883796633,4.696163500135146,21.62150176147222,3.325257,364.22925100000003,3.325257,81,1510,1.5,1,1.683273499527418,0.278595,21.932603,0.278595,193.57645244565305,32.038425,2287.6371788200004,32.038425,18.37232099263328,38,85,12.549019607843137,0.02279646980286217,45,
09:49:05.199,12.835307202031016,11.877772393617978,16.606012610541484,11.877772393617978,12.837373304073523,23.57458109470134,-0.20325000000000004,4.705882352941177,9.582289883796633,4.696163500135146,21.62150176147222,3.325257,364.22925100000003,3.325257,81,1510,1.5,1,1.683273499527418,0.278595,21.932603,0.278595,193.57645244565305,32.038425,2287.6371788200004,32.038425,18.37232099263328,38,81,12.549019607843137,0.02279646980286217,45,
09:49:05.652,12.835307202031016,11.877772393617978,16.606012610541484,11.877772393617978,12.837373304073523,23.57458109470134,-0.20325000000000004,4.705882352941177,9.582289883796633,4.696163500135146,21.62150176147222,3.325257,364.22925100000003,3.325257,81,1510,1.5,1,1.683273499527418,0.278595,21.932603,0.278595,193.57645244565305,32.038425,2287.6371788200004,32.038425,18.37232099263328,38,81,12.549019607843137,0.02279646980286217,45,
09:49:05.901,12.831970847135295,11.86350354807291,16.60546424524766,11.86350354807291,12.835982034292677,23.57458109470134,-0.20325000000000004,4.705882352941177,9.582289883796633,4.638170363027906,21.62150176147222,3.325257,364.22925100000003,3.325257,81,1565,1.6,1,1.684971234664172,0.280293,21.934301,0.280293,193.77169198637978,32.233695000000004,2287.83244882,32.233695000000004,18.14544036331249,38,81,12.549019607843137,0.02279646980286217,45,
09:49:06.201,12.831970847135295,11.86350354807291,16.60546424524766,11.86350354807291,12.835982034292677,23.58386153317485,-0.20325000000000004,4.705882352941177,10.133306092990795,4.638170363027906,21.638585894611108,3.342341,364.246335,3.342341,81,1565,1.6,1,1.684971234664172,0.280293,21.934301,0.280293,193.77169198637978,32.233695000000004,2287.83244882,32.233695000000004,18.14544036331249,38,81,12.549019607843137,0.033744860972288855,47,
09:49:06.489,12.831970847135295,11.86350354807291,16.60546424524766,11.86350354807291,12.835982034292677,23.58386153317485,-0.25325000000000003,4.705882352941177,10.133306092990795,4.638170363027906,21.638585894611108,3.342341,364.246335,3.342341,81,1565,1.6,1,1.684971234664172,0.280293,21.934301,0.280293,193.77169198637978,32.233695000000004,2287.83244882,32.233695000000004,18.14544036331249,38,76,12.549019607843137,0.033744860972288855,47,
09:49:06.965,12.831970847135295,11.86350354807291,16.60546424524766,11.86350354807291,12.835982034292677,23.58386153317485,-0.25325000000000003,4.705882352941177,10.133306092990795,4.638170363027906,21.638585894611108,3.342341,364.246335,3.342341,81,1565,1.6,1,1.684971234664172,0.280293,21.934301,0.280293,193.77169198637978,32.233695000000004,2287.83244882,32.233695000000004,18.14544036331249,38,76,10.980392156862745,0.033744860972288855,47,
09:49:07.201,12.82979427278626,11.85605689759143,16.605018992138827,11.85605689759143,12.833960606686643,23.58386153317485,-0.25325000000000003,4.705882352941177,10.133306092990795,4.476997007218826,21.638585894611108,3.342341,364.246335,3.342341,81,1610,1.6,1,1.6865886883712151,0.28191,21.935918,0.28191,193.95769916268975,32.41965,2288.01840382,32.41965,17.514898298859432,38,76,10.980392156862745,0.033744860972288855,47,
09:49:07.507,12.82979427278626,11.85605689759143,16.605018992138827,11.85605689759143,12.833960606686643,23.59431877410059,-0.25325000000000003,4.705882352941177,11.168200452083997,4.476997007218826,21.656753751555552,3.360509,364.264503,3.360509,81,1610,1.6,1,1.6865886883712151,0.28191,21.935918,0.28191,193.95769916268975,32.41965,2288.01840382,32.41965,17.514898298859432,38,76,10.980392156862745,0.039324090669228574,50,
