time,"Average fuel consumption (km/L)","Average fuel consumption (Today) (km/L)","Average fuel consumption (total) (km/L)","Average fuel consumption (Week) (km/L)","Average fuel consumption 10 sec (km/L)","Average speed (km/h)","Calculated instant fuel consumption (km/L)","Calculated instant fuel rate (L/h)","Distance travelled (km)","Distance travelled (Today) (km)","Distance travelled (total) (km)","Distance travelled (Week) (km)","Engine RPM (rpm)","Engine RPM x1000 (rpm)","Fuel economizer (based on fuel system status and throttle position) ()","Fuel used (L)","Fuel used (Today) (L)","Fuel used (total) (L)","Fuel used (Week) (L)","Fuel used price (₹$)","Fuel used price (Today) (₹$)","Fuel used price (total) (₹$)","Fuel used price (Week) (₹$)","Instant engine power (based on fuel consumption) (hp)","Vehicle acceleration (g)","Vehicle speed (km/h)",
19:55:26.965,24.550656448285213,20.56190489059446,17.177214999371934,20.56190489059446,20.977444372968925,31.984205848498306,30.36621221303577,1.4819102127160317,12.387531945361108,31.963683,316.168001,31.963683,1524,1.5,,0.5042488322130297,1.554126,18.405784,1.554126,57.98861570449842,178.72448999999997,1882.0529938200002,178.72448999999997,5.797526025126018,-0.022647373378608178,45,
19:55:27.261,24.55393343356269,20.563622151597418,17.1774067292483,20.563622151597418,20.977444372968925,31.984205848498306,30.36621221303577,1.4595454260411838,12.387531945361108,31.963683,316.168001,31.963683,1501,1.5,,0.5045029538293295,1.55438,18.406038000000002,1.55438,58.017839690372895,178.7537,1882.0822038200001,178.7537,5.7100305536182105,-0.022647373378608178,45,
19:55:27.570,24.55393343356269,20.563622151597418,17.1774067292483,20.563622151597418,20.977444372968925,31.99028391487055,31.51666209168198,1.4595454260411838,12.395261298527775,31.971412,316.17573,31.971412,1501,1.5,,0.5045029538293295,1.55438,18.406038000000002,1.55438,58.017839690372895,178.7537,1882.0822038200001,178.7537,5.7100305536182105,-0.022647373378608178,46,
19:55:27.880,24.557041569602177,20.565273688740287,17.177592397902693,20.565273688740287,20.977444372968925,31.99028391487055,31.51666209168198,1.4556558979238183,12.395261298527775,31.971412,316.17573,31.971412,1497,1.5,,0.5047538508820701,1.554631,18.406289,1.554631,58.04669285143807,178.782565,1882.1110688200001,178.782565,5.694813949877723,-0.022647373378608178,46,
19:55:28.190,24.557041569602177,20.565273688740287,17.177592397902693,20.565273688740287,20.977444372968925,31.99516662073866,29.539948322491806,1.4556558979238183,12.402653659055552,31.978804,316.183122,31.978804,1497,1.5,,0.5047538508820701,1.554631,18.406289,1.554631,58.04669285143807,178.782565,1882.1110688200001,178.782565,5.694813949877723,-0.022647373378608178,43,
19:55:28.568,24.55867735721971,20.56649632323149,17.17774482092141,20.56649632323149,20.977444372968925,31.99516662073866,29.539948322491806,1.4002301222513687,12.402653659055552,31.978804,316.183122,31.978804,1440,1.4,,0.5050212386706341,1.554898,18.406556000000002,1.554898,58.07744244712292,178.81327,1882.1417738200003,178.81327,5.4779773465757655,-0.022647373378608178,43,
19:55:28.878,24.55867735721971,20.56649632323149,17.17774482092141,20.56649632323149,20.977444372968925,32.00009870035575,29.995069619320887,1.4002301222513687,12.410683628555553,31.986834,316.191152,31.986834,1440,1.4,,0.5050212386706341,1.554898,18.406556000000002,1.554898,58.07744244712292,178.81327,1882.1417738200003,178.81327,5.4779773465757655,-0.022647373378608178,42,
19:55:29.180,24.5634990666251,20.56864459857272,17.17796829690618,20.56864459857272,20.977444372968925,32.00009870035575,29.995069619320887,1.3409148184615536,12.410683628555553,31.986834,316.191152,31.986834,1379,1.4,,0.505249011750862,1.555126,18.406784000000002,1.555126,58.10363635134913,178.83949,1882.1679938200002,178.83949,5.24592413953332,-0.022647373378608178,42,
19:55:29.489,24.5634990666251,20.56864459857272,17.17796829690618,20.56864459857272,20.977444372968925,32.00404110267512,30.57614058366493,1.3409148184615536,12.417652167361108,31.993803,316.198121,31.993803,1379,1.4,,0.505249011750862,1.555126,18.406784000000002,1.555126,58.10363635134913,178.83949,1882.1679938200002,178.83949,5.24592413953332,-0.04488706306951716,41,
19:55:29.788,24.56663858663918,20.57022911315496,17.178142525429045,20.57022911315496,20.977444372968925,32.00404110267512,30.57614058366493,1.297157627141198,12.417652167361108,31.993803,316.198121,31.993803,1334,1.3,,0.5054681015299576,1.555345,18.407003,1.555345,58.12883167594512,178.864675,1882.1931788200002,178.864675,5.0747373474528255,-0.04488706306951716,41,
