time,"Average fuel consumption (km/L)","Average fuel consumption (Today) (km/L)","Average fuel consumption (total) (km/L)","Average fuel consumption (Week) (km/L)","Average speed (km/h)","Calculated boost (bar)","Calculated instant fuel consumption (km/L)","Calculated instant fuel rate (L/h)","Distance travelled (km)","Distance travelled (Today) (km)","Distance travelled (total) (km)","Distance travelled (Week) (km)","Engine RPM (rpm)","Engine RPM x1000 (rpm)","Fuel economizer (based on fuel system status and throttle position) ()","Fuel used (L)","Fuel used (Today) (L)","Fuel used (total) (L)","Fuel used (Week) (L)","Fuel used price (₹$)","Fuel used price (Today) (₹$)","Fuel used price (total) (₹$)","Fuel used price (Week) (₹$)","Instant engine power (based on fuel consumption) (hp)","Intake air temperature (℃)","Intake manifold absolute pressure (kPa)","Throttle position (%)","Vehicle acceleration (g)","Vehicle speed (km/h)",
09:05:50.043,,,16.864173959678148,,0,-0.70325,,0.4327794971015891,0,0,284.204318,0,1283,1.3,1,0.0008894780728188685,0.000891,16.852549,0.000891,0.10228997837416988,0.102465,1703.43096882,0.102465,1.6931190405853591,,31,0,0,0,
09:05:50.270,,,16.86404687303073,,0,-0.70325,,0.4081447132764133,0,0,284.204318,0,1249,1.2,1,0.001015999011210368,0.001018,16.852676,0.001018,0.11683988628919231,0.11707000000000001,1703.4455738200002,0.11707000000000001,1.5967428909885155,,31,0,0,0,
09:05:50.497,,,16.86404687303073,,0,-0.70325,,0.4081447132764133,0,0,284.204318,0,1249,1.2,1,0.001015999011210368,0.001018,16.852676,0.001018,0.11683988628919231,0.11707000000000001,1703.4455738200002,0.11707000000000001,1.5967428909885155,,31,0,0,0,
09:05:50.831,,,16.86404687303073,,0,-0.69325,,0.4081447132764133,0,0,284.204318,0,1249,1.2,1,0.001015999011210368,0.001018,16.852676,0.001018,0.11683988628919231,0.11707000000000001,1703.4455738200002,0.11707000000000001,1.5967428909885155,,32,0,0,0,
09:05:51.273,,,16.86404687303073,,0,-0.69325,,0.4081447132764133,0,0,284.204318,0,1249,1.2,1,0.001015999011210368,0.001018,16.852676,0.001018,0.11683988628919231,0.11707000000000001,1703.4455738200002,0.11707000000000001,1.5967428909885155,,32,0,0,0,
09:05:51.511,,,16.863900775786988,,0,-0.69325,,0.4250211740826205,0,0,284.204318,0,1260,1.3,1,0.001162482440796506,0.001164,16.852822,0.001164,0.1336854806915982,0.13386,1703.46236382,0.13386,1.6627669455475858,,32,0,0,0,
09:05:51.751,,,16.863900775786988,,0,-0.69325,,0.4250211740826205,0,0,284.204318,0,1260,1.3,1,0.001162482440796506,0.001164,16.852822,0.001164,0.1336854806915982,0.13386,1703.46236382,0.13386,1.6627669455475858,,32,0,0,0,
09:05:51.989,,,16.863900775786988,,0,-0.68325,,0.4250211740826205,0,0,284.204318,0,1260,1.3,1,0.001162482440796506,0.001164,16.852822,0.001164,0.1336854806915982,0.13386,1703.46236382,0.13386,1.6627669455475858,,33,0,0,0,
09:05:52.423,,,16.863900775786988,,0,-0.68325,,0.4250211740826205,0,0,284.204318,0,1260,1.3,1,0.001162482440796506,0.001164,16.852822,0.001164,0.1336854806915982,0.13386,1703.46236382,0.13386,1.6627669455475858,,33,0,0,0,
09:05:52.668,,,16.863763686839796,,0,-0.68325,,0.4257801404649109,0,0,284.204318,0,1224,1.2,1,0.001299338171948003,0.001301,16.852959000000002,0.001301,0.14942388977402035,0.149615,1703.4781188200002,0.149615,1.665736172236063,,33,0,0,0,
09:05:52.874,,,16.863763686839796,,0,-0.68325,,0.4257801404649109,0,0,284.204318,0,1224,1.2,1,0.001299338171948003,0.001301,16.852959000000002,0.001301,0.14942388977402035,0.149615,1703.4781188200002,0.149615,1.665736172236063,,33,0,0,0,
09:05:53.106,,,16.863763686839796,,0,-0.68325,,0.4257801404649109,0,0,284.204318,0,1224,1.2,1,0.001299338171948003,0.001301,16.852959000000002,0.001301,0.14942388977402035,0.149615,1703.4781188200002,0.149615,1.665736172236063,,33,0,0,0,
09:05:53.565,,,16.863763686839796,,0,-0.68325,,0.4257801404649109,0,0,284.204318,0,1224,1.2,1,0.001299338171948003,0.001301,16.852959000000002,0.001301,0.14942388977402035,0.149615,1703.4781188200002,0.149615,1.665736172236063,,33,0,0,0,
09:05:53.792,,,16.863630602621765,,0,-0.68325,,0.42612800005679397,0,0,284.204318,0,1225,1.2,1,0.0014326465403639926,0.001434,16.853092,0.001434,0.16475435214185916,0.16491,1703.4934138200001,0.16491,1.6670970678016157,,33,0,0,0,
09:05:54.021,,,16.863630602621765,,0,-0.68325,,0.42612800005679397,0,0,284.204318,0,1225,1.2,1,0.0014326465403639926,0.001434,16.853092,0.001434,0.16475435214185916,0.16491,1703.4934138200001,0.16491,1.6670970678016157,,33,0,0,0,
09:05:54.268,,,16.863630602621765,,0,-0.68325,,0.42612800005679397,0,0,284.204318,0,1225,1.2,1,0.0014326465403639926,0.001434,16.853092,0.001434,0.16475435214185916,0.16491,1703.4934138200001,0.16491,1.6670970678016157,,33,0,0,0,
09:05:54.703,,,16.863630602621765,,0,-0.68325,,0.42612800005679397,0,0,284.204318,0,1225,1.2,1,0.0014326465403639926,0.001434,16.853092,0.001434,0.16475435214185916,0.16491,1703.4934138200001,0.16491,1.6670970678016157,,33,0,0,0,
09:05:54.951,,,16.86348851502329,,0,-0.68325,,0.4410859625077672,0,0,284.204318,0,1268,1.3,1,0.0015744288568332416,0.001576,16.853234,0.001576,0.1810593185358228,0.18123999999999998,1703.50974382,0.18123999999999998,1.725615577120366,,33,0,0,0,
09:05:55.167,,,16.86348851502329,,0,-0.68325,,0.4410859625077672,0,0,284.204318,0,1268,1.3,1,0.0015744288568332416,0.001576,16.853234,0.001576,0.1810593185358228,0.18123999999999998,1703.50974382,0.18123999999999998,1.725615577120366,,33,0,0,0,
09:05:55.390,,,16.86348851502329,,0,-0.68325,,0.4410859625077672,0,0,284.204318,0,1268,1.3,1,0.0015744288568332416,0.001576,16.853234,0.001576,0.1810593185358228,0.18123999999999998,1703.50974382,0.18123999999999998,1.725615577120366,,33,0,0,0,
09:05:55.864,,,16.86348851502329,,0,-0.68325,,0.4410859625077672,0,0,284.204318,0,1268,1.3,1,0.0015744288568332416,0.001576,16.853234,0.001576,0.1810593185358228,0.18123999999999998,1703.50974382,0.18123999999999998,1.725615577120366,,33,0,0,0,
09:05:56.096,,,16.863346429819163,,0,-0.68325,,0.4463038563860137,0,0,284.204318,0,1283,1.3,1,0.0017163495656079212,0.001718,16.853376,0.001718,0.19738020004491094,0.19757,1703.5260738200002,0.19757,1.7460290106036516,,33,0,0,0,
09:05:56.310,,,16.863346429819163,,0,-0.68325,,0.4463038563860137,0,0,284.204318,0,1283,1.3,1,0.0017163495656079212,0.001718,16.853376,0.001718,0.19738020004491094,0.19757,1703.5260738200002,0.19757,1.7460290106036516,,33,0,0,0,
09:05:56.520,,,16.863346429819163,,0,-0.69325,,0.4463038563860137,0,0,284.204318,0,1283,1.3,1,0.0017163495656079212,0.001718,16.853376,0.001718,0.19738020004491094,0.19757,1703.5260738200002,0.19757,1.7460290106036516,,32,0,0,0,
09:05:56.984,,,16.863346429819163,,0,-0.69325,,0.4463038563860137,0,0,284.204318,0,1283,1.3,1,0.0017163495656079212,0.001718,16.853376,0.001718,0.19738020004491094,0.19757,1703.5260738200002,0.19757,1.7460290106036516,,32,0,0,0,
09:05:57.230,,,16.86321235161103,,0,-0.69325,,0.4263704476511368,0,0,284.204318,0,1264,1.3,1,0.0018507282658491882,0.001852,16.85351,0.001852,0.21283375057265663,0.21298,1703.5414838200002,0.21298,1.668045570771546,,32,0,0,0,
09:05:57.479,,,16.86321235161103,,0,-0.69325,,0.4263704476511368,0,0,284.204318,0,1264,1.3,1,0.0018507282658491882,0.001852,16.85351,0.001852,0.21283375057265663,0.21298,1703.5414838200002,0.21298,1.668045570771546,,32,0,0,0,
09:05:57.678,,,16.86321235161103,,0,-0.68325,,0.4263704476511368,0,0,284.204318,0,1264,1.3,1,0.0018507282658491882,0.001852,16.85351,0.001852,0.21283375057265663,0.21298,1703.5414838200002,0.21298,1.668045570771546,,33,0,0,0,
09:05:58.153,,,16.86321235161103,,0,-0.68325,,0.4263704476511368,0,0,284.204318,0,1264,1.3,1,0.0018507282658491882,0.001852,16.85351,0.001852,0.21283375057265663,0.21298,1703.5414838200002,0.21298,1.668045570771546,,33,0,0,0,
09:05:58.376,,,16.863075273856158,,0,-0.68325,,0.4299544555675081,0,0,284.204318,0,1236,1.2,1,0.0019873958105272303,0.001989,16.853647,0.001989,0.2285505182106315,0.228735,1703.55723882,0.228735,1.6820669190226913,,33,0,0,0,
09:05:58.613,,,16.863075273856158,,0,-0.68325,,0.4299544555675081,0,0,284.204318,0,1236,1.2,1,0.0019873958105272303,0.001989,16.853647,0.001989,0.2285505182106315,0.228735,1703.55723882,0.228735,1.6820669190226913,,33,0,0,0,
09:05:58.912,,,16.863075273856158,,0,-0.68325,,0.4299544555675081,0,0,284.204318,0,1236,1.2,1,0.0019873958105272303,0.001989,16.853647,0.001989,0.2285505182106315,0.228735,1703.55723882,0.228735,1.6820669190226913,,33,0,0,0,
09:05:59.416,,,16.863075273856158,,0,-0.68325,,0.4299544555675081,0,0,284.204318,0,1236,1.2,1,0.0019873958105272303,0.001989,16.853647,0.001989,0.2285505182106315,0.228735,1703.55723882,0.228735,1.6820669190226913,,33,0,0,0,
09:05:59.616,,,16.86292819290422,,0,-0.68325,,0.4275194384243265,0,0,284.204318,0,1229,1.2,1,0.0021346879900978875,0.002136,16.853794,0.002136,0.24548911886125707,0.24564,1703.5741438200002,0.24564,1.6725406500638251,,33,0,0,0,
09:05:59.835,,,16.86292819290422,,0,-0.68325,,0.4275194384243265,0,0,284.204318,0,1229,1.2,1,0.0021346879900978875,0.002136,16.853794,0.002136,0.24548911886125707,0.24564,1703.5741438200002,0.24564,1.6725406500638251,,33,0,0,0,
09:06:00.086,,,16.86292819290422,,0,-0.68325,,0.4275194384243265,0,0,284.204318,0,1229,1.2,1,0.0021346879900978875,0.002136,16.853794,0.002136,0.24548911886125707,0.24564,1703.5741438200002,0.24564,1.6725406500638251,,33,0,0,0,
09:06:00.537,,,16.86292819290422,,0,-0.68325,,0.4275194384243265,0,0,284.204318,0,1229,1.2,1,0.0021346879900978875,0.002136,16.853794,0.002136,0.24548911886125707,0.24564,1703.5741438200002,0.24564,1.6725406500638251,,33,0,0,0,
09:06:00.782,,,16.862785116616966,,0,-0.68325,,0.4396945241402347,0,0,284.204318,0,1264,1.3,1,0.0022772381884115667,0.002279,16.853937000000002,0.002279,0.2618823916673302,0.262085,1703.5905888200002,0.262085,1.7201719948581564,,33,0,0,0,
09:06:01.005,,,16.862785116616966,,0,-0.68325,,0.4396945241402347,0,0,284.204318,0,1264,1.3,1,0.0022772381884115667,0.002279,16.853937000000002,0.002279,0.2618823916673302,0.262085,1703.5905888200002,0.262085,1.7201719948581564,,33,0,0,0,
09:06:01.267,,,16.862785116616966,,0,-0.69325,,0.4396945241402347,0,0,284.204318,0,1264,1.3,1,0.0022772381884115667,0.002279,16.853937000000002,0.002279,0.2618823916673302,0.262085,1703.5905888200002,0.262085,1.7201719948581564,,32,0,0,0,
