time,"Average fuel consumption (km/L)","Average fuel consumption (Today) (km/L)","Average fuel consumption (total) (km/L)","Average fuel consumption (Week) (km/L)","Average fuel consumption 10 sec (km/L)","Average speed (km/h)","Calculated boost (bar)","Calculated instant fuel consumption (km/L)","Calculated instant fuel rate (L/h)","Distance travelled (km)","Distance travelled (Today) (km)","Distance travelled (total) (km)","Distance travelled (Week) (km)","Engine RPM (rpm)","Engine RPM x1000 (rpm)","Fuel economizer (based on fuel system status and throttle position) ()","Fuel used (L)","Fuel used (Today) (L)","Fuel used (total) (L)","Fuel used (Week) (L)","Fuel used price (₹$)","Fuel used price (Today) (₹$)","Fuel used price (total) (₹$)","Fuel used price (Week) (₹$)","Instant engine power (based on fuel consumption) (hp)","Intake air temperature (℃)","Intake manifold absolute pressure (kPa)","Throttle position (%)","Vehicle acceleration (g)","Vehicle speed (km/h)",
16:47:15.907,21.390904599303955,18.983248115585518,15.784843534096838,16.796542196404786,19.636390540238498,34.7083521640494,-0.57325,28.842607273677352,1.5402011259716968,15.051995427999985,34.386977,214.751423,128.27302600000002,1259,1.3,1,0.7036633424324545,1.811438,13.604913,7.636871,80.92128437973227,208.31537,1329.9528288200001,878.2401649999999,6.025571613669945,48,44,5.882352941176471,0.03315343800425915,37,
16:47:16.138,21.390904599303955,18.983248115585518,15.784843534096838,16.796542196404786,19.636390540238498,34.710015088330756,-0.57325,24.02283661275542,1.5402011259716968,15.063647459777764,34.398629,214.763075,128.28467799999999,1259,1.3,1,0.7036633424324545,1.811438,13.604913,7.636871,80.92128437973227,208.31537,1329.9528288200001,878.2401649999999,6.025571613669945,48,44,5.882352941176471,0,37,
16:47:16.348,21.390904599303955,18.983248115585518,15.784843534096838,16.796542196404786,19.636390540238498,34.710015088330756,-0.56325,24.02283661275542,1.5402011259716968,15.063647459777764,34.398629,214.763075,128.28467799999999,1259,1.3,1,0.7036633424324545,1.811438,13.604913,7.636871,80.92128437973227,208.31537,1329.9528288200001,878.2401649999999,6.025571613669945,48,45,5.882352941176471,0,37,
16:47:16.789,21.390904599303955,18.983248115585518,15.784843534096838,16.796542196404786,19.636390540238498,34.710015088330756,-0.56325,24.02283661275542,1.5402011259716968,15.063647459777764,34.398629,214.763075,128.28467799999999,1259,1.3,1,0.7036633424324545,1.811438,13.604913,7.636871,80.92128437973227,208.31537,1329.9528288200001,878.2401649999999,6.025571613669945,48,45,5.882352941176471,0,37,
16:47:17.015,21.392614317176598,18.98456614674109,15.785133786207403,16.796994615547074,19.636390540238498,34.710015088330756,-0.56325,24.02283661275542,1.5864661031111453,15.063647459777764,34.398629,214.763075,128.28467799999999,1268,1.3,1,0.7041517804433481,1.811926,13.605400999999999,7.637359,80.97745475098503,208.37149,1330.0089488200001,878.2962849999999,6.206569360170534,48,45,5.882352941176471,0,37,
16:47:17.247,21.392614317176598,18.98456614674109,15.785133786207403,16.796994615547074,19.636390540238498,34.71234926322679,-0.56325,23.9526075757181,1.5864661031111453,15.075356105277764,34.410338,214.77478399999998,128.296387,1268,1.3,1,0.7041517804433481,1.811926,13.605400999999999,7.637359,80.97745475098503,208.37149,1330.0089488200001,878.2962849999999,6.206569360170534,48,45,5.882352941176471,0,38,
16:47:17.457,21.392614317176598,18.98456614674109,15.785133786207403,16.796994615547074,19.636390540238498,34.71234926322679,-0.58325,23.9526075757181,1.5864661031111453,15.075356105277764,34.410338,214.77478399999998,128.296387,1268,1.3,1,0.7041517804433481,1.811926,13.605400999999999,7.637359,80.97745475098503,208.37149,1330.0089488200001,878.2962849999999,6.206569360170534,48,43,5.882352941176471,0,38,
16:47:17.927,21.392614317176598,18.98456614674109,15.785133786207403,16.796994615547074,19.636390540238498,34.71234926322679,-0.58325,23.9526075757181,1.5864661031111453,15.075356105277764,34.410338,214.77478399999998,128.296387,1268,1.3,1,0.7041517804433481,1.811926,13.605400999999999,7.637359,80.97745475098503,208.37149,1330.0089488200001,878.2962849999999,6.206569360170534,48,43,5.490196078431373,0,38,
16:47:18.131,21.394934939505493,18.986093002802367,15.78544793012899,16.797491826867056,19.636390540238498,34.71234926322679,-0.58325,23.9526075757181,1.519543146395609,15.075356105277764,34.410338,214.77478399999998,128.296387,1271,1.3,1,0.7046226664350027,1.812397,13.605872,7.63783,81.03160664002532,208.425655,1330.0631138200001,878.3504499999999,5.94475350931301,48,43,5.490196078431373,0,38,
16:47:18.375,21.394934939505493,18.986093002802367,15.78544793012899,16.797491826867056,19.636390540238498,34.713997941170376,-0.58325,24.349423764481347,1.519543146395609,15.08694506644443,34.421927,214.78637299999997,128.307976,1271,1.3,1,0.7046226664350027,1.812397,13.605872,7.63783,81.03160664002532,208.425655,1330.0631138200001,878.3504499999999,5.94475350931301,48,43,5.490196078431373,0,37,
16:47:18.577,21.394934939505493,18.986093002802367,15.78544793012899,16.797491826867056,19.636390540238498,34.713997941170376,-0.58325,24.349423764481347,1.519543146395609,15.08694506644443,34.421927,214.78637299999997,128.307976,1271,1.3,1,0.7046226664350027,1.812397,13.605872,7.63783,81.03160664002532,208.425655,1330.0631138200001,878.3504499999999,5.94475350931301,48,43,5.490196078431373,0,37,
16:47:19.062,21.394934939505493,18.986093002802367,15.78544793012899,16.797491826867056,19.636390540238498,34.713997941170376,-0.58325,24.349423764481347,1.519543146395609,15.08694506644443,34.421927,214.78637299999997,128.307976,1271,1.3,1,0.7046226664350027,1.812397,13.605872,7.63783,81.03160664002532,208.425655,1330.0631138200001,878.3504499999999,5.94475350931301,48,43,5.490196078431373,0,37,
16:47:19.272,21.39671303214753,18.98742718767927,15.78573931078529,16.79794687648961,19.636390540238498,34.713997941170376,-0.58325,24.349423764481347,1.5243253435518498,15.08694506644443,34.421927,214.78637299999997,128.307976,1275,1.3,1,0.7051057348751195,1.81288,13.606354999999999,7.638313,81.08715951063874,208.4812,1330.11865882,878.4059949999998,5.963462410994561,48,43,5.490196078431373,0,37,
16:47:19.504,21.39671303214753,18.98742718767927,15.78573931078529,16.79794687648961,19.636390540238498,34.716368302237875,-0.58325,24.929061345562697,1.5243253435518498,15.09886682544443,34.433849,214.798295,128.319898,1275,1.3,1,0.7051057348751195,1.81288,13.606354999999999,7.638313,81.08715951063874,208.4812,1330.11865882,878.4059949999998,5.963462410994561,48,43,5.490196078431373,0,38,
16:47:19.807,21.39671303214753,18.98742718767927,15.78573931078529,16.79794687648961,19.636390540238498,34.716368302237875,-0.59325,24.929061345562697,1.5243253435518498,15.09886682544443,34.433849,214.798295,128.319898,1275,1.3,1,0.7051057348751195,1.81288,13.606354999999999,7.638313,81.08715951063874,208.4812,1330.11865882,878.4059949999998,5.963462410994561,48,42,5.490196078431373,0,38,
16:47:20.255,21.39671303214753,18.98742718767927,15.78573931078529,16.79794687648961,19.636390540238498,34.716368302237875,-0.59325,24.929061345562697,1.5243253435518498,15.09886682544443,34.433849,214.798295,128.319898,1275,1.3,1,0.7051057348751195,1.81288,13.606354999999999,7.638313,81.08715951063874,208.4812,1330.11865882,878.4059949999998,5.963462410994561,48,42,0,0,38,
16:47:20.496,21.39844915875392,18.988766281750102,15.786035421116782,16.798408077275877,19.636390540238498,34.716368302237875,-0.59325,24.929061345562697,1.470191983882074,15.09886682544443,34.433849,214.798295,128.319898,1259,1.3,1,0.7056056592431894,1.81338,13.606855,7.638813000000001,81.14465081296679,208.5387,1330.1761588200002,878.463495,5.751681994866765,48,42,0,0,38,
16:47:20.797,21.39844915875392,18.988766281750102,15.786035421116782,16.798408077275877,19.636390540238498,34.71825797506411,-0.59325,25.16678121336282,1.470191983882074,15.11219380919443,34.447176,214.811622,128.333225,1259,1.3,1,0.7056056592431894,1.81338,13.606855,7.638813000000001,81.14465081296679,208.5387,1330.1761588200002,878.463495,5.751681994866765,48,42,0,0,37,
